Time,x,y,z
500.0,-477.76428668382533,-455.54092990808965,-475.06636042150683
501.0,-480.1527387214663,-456.4472638210194,-476.6392099699895
502.0,-482.54800702205335,-457.38210324103943,-478.1847729829331
503.0,-484.93826680464167,-458.2967672527354,-479.7500358737758
504.0,-487.33357463658433,-459.215760152482,-481.3050125425556
505.0,-489.72687778419316,-460.12011405109735,-482.8716152585321
506.0,-492.14247947903317,-461.03868006000357,-484.3951325505797
507.0,-494.5388704306592,-461.9787805061664,-485.93575630675423
508.0,-496.9161396816895,-462.8865713589912,-487.5246259287287
509.0,-499.30139156918216,-463.8127075964978,-489.0907820840306
510.0,-501.6935204158637,-464.7323971928675,-490.6502341118927
511.0,-504.07103189710665,-465.64265864909123,-492.23732681172834
512.0,-506.45559875855196,-466.5637428574604,-493.80750029398746
513.0,-508.83419737642396,-467.47966036621284,-495.3897024720349
514.0,-511.2302192216724,-468.4147938840815,-496.9339189791513
515.0,-513.6266214835933,-469.32175303705094,-498.49426550922254
516.0,-516.0058878692755,-470.2489118864853,-500.0688981438007
517.0,-518.3769406082357,-471.16049845904416,-501.66486770171826
518.0,-520.7620206876503,-472.07413497858283,-503.2386088891265
519.0,-523.1507866365562,-472.99875817773943,-504.8002968159958
520.0,-525.5457980395478,-473.92003584358173,-506.3543778441152
521.0,-527.9281750906567,-474.8460129587213,-507.92499745706647
522.0,-530.3229494478372,-475.76336299977817,-509.4817648386504
523.0,-532.7158552050516,-476.67568951779805,-511.0443467922157
524.0,-535.1071650083122,-477.5921910525605,-512.606928745781
525.0,-537.4851266758591,-478.5135867806111,-514.1869060304304
526.0,-539.8801436489541,-479.4483281110572,-515.7329177845068
527.0,-542.2681984246086,-480.3664513700854,-517.2995205004833
528.0,-544.653761434792,-481.2826609555147,-518.8710322312736
529.0,-547.0574583565428,-482.21065242641714,-520.4076105528368
530.0,-549.4365801425467,-483.12057833219507,-521.9924810123242
531.0,-551.8293266323,-484.03332247715883,-523.5550629658895
532.0,-554.201103578945,-484.9561326746869,-525.1434884298951
533.0,-556.5968080436668,-485.8695262364328,-526.7011508834046
534.0,-558.9920623959132,-486.78562225087734,-528.2579182649885
535.0,-561.3679027601551,-487.697146188032,-529.8467878869629
536.0,-563.7383342001073,-488.6080190533919,-531.4440872989821
537.0,-566.1224184561396,-489.53035169173273,-533.0142607812413
538.0,-568.503089100584,-490.4408699784588,-534.5964629592888
539.0,-570.9075061710457,-491.36624745454003,-536.1334909609966
540.0,-573.2837927802997,-492.28508662901623,-537.7174721863046
541.0,-575.6606217161765,-493.18700998182743,-539.3103370503883
542.0,-578.0707520442787,-494.1116897367438,-540.8388131386571
543.0,-580.4551295935993,-495.01790603508726,-542.4179001289502
544.0,-582.8645851741759,-495.93461626897596,-543.9522293479616
545.0,-585.2322227693363,-496.84963614523116,-545.5513012175288
546.0,-587.6166563808366,-497.76111662172457,-547.1272706630825
547.0,-590.014839489012,-498.6725799173171,-548.6822473318623
548.0,-592.3930260532965,-499.59263091079737,-550.2626696915032
549.0,-594.7867270543385,-500.5028688774865,-551.8252516450685
550.0,-597.1786519560429,-501.40622493393766,-553.3945327224665
551.0,-599.5522579568775,-502.32355141734956,-554.983402344441
552.0,-601.9058195424425,-503.2406935519491,-556.6019196189534
553.0,-604.2943865079611,-504.13659422179313,-558.180561389909
554.0,-606.6839626134383,-505.0438318243787,-559.7511810028602
555.0,-609.0717621409971,-505.9618569494712,-561.3182302317899
556.0,-611.4561129749519,-506.86425503476266,-562.8995425969731
557.0,-613.8557433576324,-507.76573884384874,-564.4580999326116
558.0,-616.2386737669981,-508.67188114384294,-566.0394122977948
559.0,-618.6251099783653,-509.5788798657166,-567.6149361876787
560.0,-620.933247439875,-510.6084602801494,-569.2312485426993
561.0,-623.2064486596986,-511.7078581936048,-570.85108817738
562.0,-625.5458305645277,-512.6754271605071,-572.4607783952933
563.0,-627.7769324414083,-513.717703962201,-574.1742087217526
564.0,-630.0931954347052,-514.7801285969832,-575.7573005198778
565.0,-632.4558226563817,-515.7193769758853,-577.3497216620772
566.0,-634.7837365491831,-516.7113561060014,-578.9611788638409
567.0,-637.1155114368187,-517.7078670059449,-580.5642359120104
568.0,-639.2835889748546,-518.9530567764999,-582.2222293451606
569.0,-641.5587444010966,-520.0077011672703,-583.8688601463599
570.0,-643.8576129717844,-521.0645765017052,-585.4807589714004
571.0,-641.6250628870013,-521.3327681575537,-587.4666575978836
572.0,-641.2169846984629,-522.1894759900264,-590.3126238453677
573.0,-640.1878335861835,-523.6317601089562,-592.7335047817992
574.0,-638.4925561085357,-524.6906756803547,-594.9706306357532
575.0,-636.134662241645,-524.6923218010778,-596.8254443198642
576.0,-635.6290759514934,-525.2942157720389,-599.7206310411193
577.0,-636.3267975946596,-525.9748561030137,-602.5578679449586
578.0,-636.4570498829532,-526.8133305743082,-605.4353659731737
579.0,-636.576828330083,-527.740641744597,-608.2859355859109
580.0,-636.7234350275444,-528.715788111311,-611.1192368476451
581.0,-636.8775324852892,-529.6259009483157,-613.9736980222691
582.0,-637.0917815330304,-530.5843960893133,-616.8083733846742
583.0,-637.2189024587436,-531.4981641980258,-619.6629956212837
584.0,-637.3291980393293,-532.4095977638739,-622.5190635021207
585.0,-637.3984946593558,-533.2980240630822,-625.3836571363606
586.0,-637.6154409431971,-534.2208056768684,-628.2299544509758
587.0,-637.7395345669835,-535.1545733857637,-631.0782308839015
588.0,-637.8828633860245,-536.1101858898583,-633.9183473589163
589.0,-638.0715690861914,-537.0427014412854,-636.7634844215323
590.0,-638.1135596274313,-538.0836439043484,-639.5767877437922
591.0,-638.1846881184688,-539.0453354902803,-642.4175781322775
592.0,-638.3777934941927,-539.9860715270651,-645.2597121936759
593.0,-638.4477861914504,-540.9279370287338,-648.1071655118353
594.0,-638.5922908484738,-541.8913891667991,-650.9445724938801
595.0,-638.673273290869,-542.8557833523772,-653.7841826253676
596.0,-638.8092866534421,-543.8114630498586,-656.624636230168
597.0,-638.9691676752849,-544.7458236096368,-659.4709335447832
598.0,-639.1127461651519,-545.6626966714218,-662.3237793180105
599.0,-639.239951555013,-546.6010610033958,-665.1704073529439
600.0,-639.4001929345185,-547.5277952694017,-668.019176613608
601.0,-639.4870235599866,-548.4412620927128,-670.8754046866426
